trans-eff,die-off,shedding,infectivity,A(contact),P_T(min),P_T(avg),P_T(max),N_T(min),N_T(avg),N_T(max),Recover_cnt(avg),P_T/(P_T+N_T)
1.0,0.36787944117144233,1.0,1.0,735.7588823428847,3.6,3.900000000000001,4.2,282.8,283.22,283.8,16.15,0.013583170799665648
1.0,0.36787944117144233,1.0,0.36787944117144233,735.7588823428847,0.0,0.030000000000000006,0.1,286.9,286.97,287.0,12.690000000000001,0.0001045296167247387
1.0,0.36787944117144233,1.0,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,7.489999999999999,0.0
1.0,0.36787944117144233,1.0,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.540000000000001,0.0
1.0,0.36787944117144233,1.0,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.239999999999999,0.0
1.0,0.36787944117144233,2.718281828459045,1.0,735.7588823428847,6.0,6.45,7.4,280.5,280.95,281.9,0.85,0.02244258872651357
1.0,0.36787944117144233,2.718281828459045,0.36787944117144233,735.7588823428847,3.5,4.26,4.9,282.2,283.13,283.8,16.509999999999998,0.014823062737047218
1.0,0.36787944117144233,2.718281828459045,0.1353352832366127,735.7588823428847,0.0,0.01,0.1,286.9,286.99,287.0,11.92,3.484320557491289e-05
1.0,0.36787944117144233,2.718281828459045,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,7.45,0.0
1.0,0.36787944117144233,2.718281828459045,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.55,0.0
1.0,0.36787944117144233,7.3890560989306495,1.0,735.7588823428847,6.8,7.31,7.9,279.5,280.33000000000004,281.0,0.0,0.025413711583924345
1.0,0.36787944117144233,7.3890560989306495,0.36787944117144233,735.7588823428847,6.6,7.19,7.8,279.8,280.32,280.7,0.9099999999999999,0.025007825814754272
1.0,0.36787944117144233,7.3890560989306495,0.1353352832366127,735.7588823428847,3.7,4.08,4.5,282.5,282.98999999999995,283.4,16.249999999999996,0.014212561396175152
1.0,0.36787944117144233,7.3890560989306495,0.04978706836786395,735.7588823428847,0.0,0.05,0.2,286.8,286.95000000000005,287.0,12.34,0.00017421602787456443
1.0,0.36787944117144233,7.3890560989306495,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,7.37,0.0
1.0,0.36787944117144233,0.36787944117144233,1.0,735.7588823428847,0.0,0.04,0.1,286.9,286.96,287.0,12.370000000000001,0.00013937282229965157
1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,7.390000000000001,0.0
1.0,0.36787944117144233,0.36787944117144233,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.38,0.0
1.0,0.36787944117144233,0.36787944117144233,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.22,0.0
1.0,0.36787944117144233,0.36787944117144233,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.04,0.0
1.0,0.36787944117144233,0.1353352832366127,1.0,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,7.24,0.0
1.0,0.36787944117144233,0.1353352832366127,0.36787944117144233,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.4799999999999995,0.0
1.0,0.36787944117144233,0.1353352832366127,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.139999999999999,0.0
1.0,0.36787944117144233,0.1353352832366127,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.029999999999999,0.0
1.0,0.36787944117144233,0.1353352832366127,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.01,0.0
1.0,0.1353352832366127,1.0,1.0,735.7588823428847,6.0,7.37,8.5,279.1,280.36,281.1,6.62,0.025614291175755047
1.0,0.1353352832366127,1.0,0.36787944117144233,735.7588823428847,3.4,3.8600000000000003,4.3,282.8,283.27,283.7,28.65,0.013443388012398567
1.0,0.1353352832366127,1.0,0.1353352832366127,735.7588823428847,0.0,0.18000000000000002,0.4,286.6,286.82000000000005,287.0,14.439999999999998,0.0006271777003484321
1.0,0.1353352832366127,1.0,0.04978706836786395,735.7588823428847,0.0,0.04,0.2,286.9,286.98,287.0,7.959999999999999,0.00013936311058462822
1.0,0.1353352832366127,1.0,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,6.67,0.0
1.0,0.1353352832366127,2.718281828459045,1.0,735.7588823428847,7.4,8.7,11.0,278.5,279.91999999999996,281.7,0.62,0.030143441202965842
1.0,0.1353352832366127,2.718281828459045,0.36787944117144233,735.7588823428847,6.1,6.85,7.5,279.8,280.7,281.1,6.08,0.023821944009737434
1.0,0.1353352832366127,2.718281828459045,0.1353352832366127,735.7588823428847,3.3,3.71,4.3,282.9,283.36,283.7,28.82,0.012923677151914167
1.0,0.1353352832366127,2.718281828459045,0.04978706836786395,735.7588823428847,0.0,0.25,0.6,286.4,286.76000000000005,287.0,13.89,0.0008710497892059508
1.0,0.1353352832366127,2.718281828459045,0.018315638888734186,735.7588823428847,0.0,0.01,0.1,286.9,286.99,287.0,7.8100000000000005,3.484320557491289e-05
1.0,0.1353352832366127,7.3890560989306495,1.0,735.7588823428847,6.6,9.01,11.3,278.9,279.79,281.8,0.0,0.031198060941828254
1.0,0.1353352832366127,7.3890560989306495,0.36787944117144233,735.7588823428847,7.1,8.14,9.2,279.0,280.2,281.0,0.59,0.02823056114309496
1.0,0.1353352832366127,7.3890560989306495,0.1353352832366127,735.7588823428847,6.0,6.85,7.7,279.9,280.79,281.8,6.130000000000001,0.023814490335141145
