trans-eff,die-off,shedding,infectivity,A(contact),P_T(min),P_T(avg),P_T(max),N_T(min),N_T(avg),N_T(max),Recover_cnt(avg),P_T/(P_T+N_T)
1.0,0.36787944117144233,1.0,1.0,735.7588823428847,2.6,3.0200000000000005,3.6,283.4,284.12,284.8,11.67,0.010517517587239676
1.0,0.36787944117144233,1.0,0.36787944117144233,735.7588823428847,0.0,0.04,0.2,286.8,286.96000000000004,287.0,7.7299999999999995,0.00013937282229965154
1.0,0.36787944117144233,1.0,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.99,0.0
1.0,0.36787944117144233,1.0,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.27,0.0
1.0,0.36787944117144233,1.0,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.17,0.0
1.0,0.36787944117144233,2.718281828459045,1.0,735.7588823428847,4.0,4.4,5.0,282.3,282.88,283.8,0.57,0.015316067947646898
1.0,0.36787944117144233,2.718281828459045,0.36787944117144233,735.7588823428847,2.0,2.7499999999999996,3.1,283.9,284.4,285.6,11.08,0.009576876197109525
1.0,0.36787944117144233,2.718281828459045,0.1353352832366127,735.7588823428847,0.0,0.05,0.2,286.9,286.96,287.0,8.249999999999998,0.00017420995784119022
1.0,0.36787944117144233,2.718281828459045,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.92,0.0
1.0,0.36787944117144233,2.718281828459045,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.2700000000000005,0.0
1.0,0.36787944117144233,7.3890560989306495,1.0,735.7588823428847,4.2,4.94,5.8,282.0,282.77,283.9,0.0,0.01717006708143617
1.0,0.36787944117144233,7.3890560989306495,0.36787944117144233,735.7588823428847,3.9,4.48,5.3,282.2,282.84000000000003,283.1,0.6499999999999999,0.015592370875678685
1.0,0.36787944117144233,7.3890560989306495,0.1353352832366127,735.7588823428847,2.5,2.87,3.5,283.6,284.22,285.0,10.900000000000002,0.009996865094569646
1.0,0.36787944117144233,7.3890560989306495,0.04978706836786395,735.7588823428847,0.0,0.04,0.1,286.9,286.96,287.0,8.280000000000001,0.00013937282229965157
1.0,0.36787944117144233,7.3890560989306495,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.88,0.0
1.0,0.36787944117144233,0.36787944117144233,1.0,735.7588823428847,0.0,0.030000000000000006,0.1,286.9,286.96999999999997,287.0,7.889999999999999,0.00010452961672473872
1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.91,0.0
1.0,0.36787944117144233,0.36787944117144233,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.36,0.0
1.0,0.36787944117144233,0.36787944117144233,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.0600000000000005,0.0
